Unique_Name,Country,Country_Risk_Score,Transaction_Amount,Transaction_Volume_30D,Transaction_Trend_30D,Previous_Banking_History_Score,Chargeback_Count_12M,Past_SAR_Flag,Account_Age_Days,KYC_Risk_Score,Amount_Squared,Volume_Squared,Trend_Squared,Amount_x_Volume,CountryRisk_x_Trend,History_Inverse,Risk_Target,Risk_Label,Country_Risk_Flag,Composite_Risk_Score,Country_Risk_Score_Squared,Transaction_Amount_Cubed,History_Inverse_Squared,Amount_x_CountryRisk,Amount_x_Trend,Volume_x_CountryRisk
AML_Customer_00001,DE,0.17,4113.45,24,-0.19,77.47,2,0,2914,21.98,16.9205,576,0.0361,98722.8,-0.0323,22.53,0,Low_Risk,0,0.29057499999999997,0.0289,69.6015,507.6009,699.29,-781.555,4.08
AML_Customer_00002,PK,0.55,4329.12,20,0.663,100.0,0,1,3091,50.75,18.7413,400,0.439569,86582.4,0.36465,0.0,0,Low_Risk,1,0.5550625000000001,0.3025,81.1332,0.0,2381.02,2870.207,11.0
AML_Customer_00003,BR,0.4,7891.34,23,-0.051,41.04,2,1,3371,3.96,62.2732,529,0.002601,181500.82,-0.0204,58.96,0,Low_Risk,0,0.5132825,0.16,491.4194,3476.2816,3156.54,-402.458,9.2
AML_Customer_00004,IN,0.35,14290.72,26,0.325,56.47,1,0,1640,90.48,204.2247,676,0.105625,371558.72,0.11375,43.53,1,High_Risk,0,0.61829,0.1225,2918.5177,1894.8609,5001.75,4644.484,9.1
AML_Customer_00005,UK,0.18,24675.96,18,-0.576,57.21,3,0,3519,81.86,608.903,324,0.331776,444167.28,-0.10368,42.79,0,Low_Risk,0,0.5000399999999999,0.0324,15025.2661,1830.9841,4441.67,-14213.353,3.24
AML_Customer_00006,UK,0.18,4432.95,15,0.493,92.12,1,0,1493,72.58,19.651,225,0.243049,66494.25,0.08874,7.88,0,Low_Risk,0,0.31185499999999994,0.0324,87.1121,62.0944,797.93,2185.444,2.7
AML_Customer_00007,US,0.15,44032.73,24,0.448,64.3,2,0,3130,60.98,1938.8813,576,0.200704,1056785.52,0.0672,35.7,0,Low_Risk,0,0.5796,0.0225,85374.2373,1274.49,6604.91,19726.663,3.6
AML_Customer_00008,RU,0.7,7546.78,23,0.114,46.85,4,1,1007,57.98,56.9539,529,0.012996,173575.94,0.0798,53.15,1,High_Risk,1,0.7213875,0.49,429.8185,2824.9225,5282.75,860.333,16.1
AML_Customer_00009,IN,0.35,9687.9,18,0.001,76.17,0,0,2412,99.67,93.8554,324,1e-06,174382.2,0.00035,23.83,0,Low_Risk,0,0.425175,0.1225,909.2618,567.8689,3390.76,9.688,6.3
AML_Customer_00010,BR,0.4,4688.13,29,0.22,56.91,1,0,1291,27.8,21.9786,841,0.0484,135955.77,0.088,43.09,0,Low_Risk,0,0.48048,0.16,103.0384,1856.7481,1875.25,1031.389,11.6
AML_Customer_00011,US,0.15,876.34,30,0.881,40.51,1,0,182,77.97,0.768,900,0.776161,26290.2,0.13215,59.49,0,Low_Risk,0,0.37031000000000003,0.0225,0.673,3539.0601,131.45,772.056,4.5
AML_Customer_00012,PK,0.55,23957.71,28,-0.537,47.14,5,1,1659,58.14,573.9719,784,0.288369,670815.88,-0.29535,52.86,1,High_Risk,1,0.8900425000000001,0.3025,13751.0516,2794.1796,13176.74,-12865.29,15.4
AML_Customer_00013,NG,0.65,20678.38,24,0.354,99.68,1,1,2826,97.59,427.5954,576,0.125316,496281.12,0.2301,0.32,1,High_Risk,1,0.8789425000000001,0.4225,8841.9802,0.1024,13440.95,7320.147,15.6
AML_Customer_00014,UK,0.18,7470.17,20,-0.239,72.68,1,0,2911,82.78,55.8034,400,0.057121,149403.4,-0.04302,27.32,0,Low_Risk,0,0.34829249999999995,0.0324,416.8612,746.3824,1344.63,-1785.371,3.6
