Unique_Name,Transaction_Amount,Country_Amount_Interaction,Velocity_Risk,Transaction_Amount_Squared,Num_Transactions_24h,Risk_Velocity,Is_Suspicious,Country_Amount_Interaction_Squared,Velocity_Risk_Squared,Transaction_Amount_x_Country_Amount_Interaction
IMP_Record_00001,374602.66,3.75,9.37,140327152879.0756,25,17.87,1,14.0625,87.79689999999998,1404759.9749999999
IMP_Record_00002,950719.23,28.52,17.11,903867054291.7928,18,4.48,1,813.3904,292.7521,27114512.4396
IMP_Record_00003,732020.74,21.96,13.91,535854363790.1476,19,17.29,1,482.24160000000006,193.4881,16075175.4504
IMP_Record_00004,598698.62,23.95,21.55,358440037589.9044,36,5.56,1,573.6025,464.40250000000003,14338831.949
IMP_Record_00005,156103.04,3.12,1.56,24368159097.241604,10,6.27,1,9.7344,2.4336,487041.48480000003
IMP_Record_00006,156078.92,14.05,5.15,24360629268.366405,33,0.95,1,197.40250000000003,26.522500000000004,2192908.8260000004
IMP_Record_00007,58177.8,4.07,0.29,3384656412.84,5,3.22,1,16.5649,0.0841,236783.64600000004
IMP_Record_00008,866189.53,60.63,40.71,750284301881.621,47,13.03,1,3675.9969,1657.3041,52517071.2039
IMP_Record_00009,601154.9,36.07,29.46,361387213794.01,49,22.03,1,1301.0449,867.8916,21683657.243
IMP_Record_00010,708101.77,21.24,24.78,501408116677.13293,35,12.08,1,451.1375999999999,614.0484,15040081.5948
IMP_Record_00011,20682.44,1.24,0.91,427763324.35359997,44,7.6,1,1.5376,0.8281000000000001,25646.225599999998
IMP_Record_00012,969912.86,77.59,32.98,940730955993.3795,34,21.15,1,6020.208100000001,1087.6803999999997,75255538.8074
IMP_Record_00013,832459.4,66.6,27.47,692988652648.36,33,29.11,1,4435.5599999999995,754.6008999999999,55441796.04
IMP_Record_00014,212417.88,19.12,4.46,45121355743.694405,21,20.14,1,365.5744,19.8916,4061429.8656
IMP_Record_00015,181906.78,1.82,3.09,33090076609.9684,17,3.27,1,3.3124000000000002,9.5481,331070.3396
IMP_Record_00016,183486.17,1.83,4.04,33667174581.268906,22,15.78,1,3.3489000000000004,16.3216,335779.69110000005
IMP_Record_00017,304311.82,9.13,14.61,92605683791.7124,48,31.89,1,83.35690000000001,213.45209999999997,2778366.9166
IMP_Record_00018,524803.96,15.74,19.42,275419196431.6816,37,12.7,1,247.7476,377.1364000000001,8260414.330399999
IMP_Record_00019,432001.82,34.56,6.48,186625572483.3124,15,0.29,1,1194.3936,41.99040000000001,14929982.899200002
IMP_Record_00020,291300.02,2.91,10.2,84855701652.00041,35,24.14,1,8.468100000000002,104.03999999999999,847683.0582000001
IMP_Record_00021,611891.71,12.24,17.13,374411464766.72406,28,26.47,1,149.8176,293.4369,7489554.5304
IMP_Record_00022,139579.91,2.79,0.98,19482551275.6081,7,4.42,1,7.7841000000000005,0.9603999999999999,389427.9489
IMP_Record_00023,292215.43,8.77,9.35,85389857530.0849,32,13.93,1,76.9129,87.4225,2562729.3211
IMP_Record_00024,366425.21,21.99,4.03,134267434523.54411,11,5.78,1,483.5600999999999,16.240900000000003,8057690.3679
IMP_Record_00025,456124.38,4.56,4.56,208049450030.3844,10,2.0,1,20.793599999999998,20.793599999999998,2079927.1727999998
IMP_Record_00026,785197.44,15.7,7.07,616535019782.5535,9,6.75,1,246.48999999999998,49.9849,12327599.807999998
IMP_Record_00027,199753.81,2.0,2.8,39901584609.5161,14,10.45,1,4.0,7.839999999999999,399507.62
IMP_Record_00028,514283.01,25.71,6.69,264487014374.6601,13,1.89,1,661.0041,44.7561,13222216.1871
IMP_Record_00029,592455.33,41.47,14.81,351003318045.4089,25,21.95,1,1719.7609,219.33610000000002,24569122.535099998
IMP_Record_00030,46545.77,3.72,0.09,2166508704.8928995,2,0.54,1,13.838400000000002,0.0081,173150.2644
IMP_Record_00031,607584.1,6.08,21.27,369158438572.81,35,34.38,1,36.9664,452.4129,3694111.3279999997
IMP_Record_00032,170607.07,11.94,1.19,29106772333.9849,7,2.68,1,142.56359999999998,1.4161,2037048.4158
IMP_Record_00033,65145.09,3.26,1.37,4243882751.1080995,21,3.74,1,10.6276,1.8769000000000002,212372.99339999998
IMP_Record_00034,948890.65,9.49,17.08,900393465657.4225,18,6.33,1,90.0601,291.72639999999996,9004972.2685
IMP_Record_00035,965635.47,28.97,2.9,932451860922.1208,3,1.32,1,839.2608999999999,8.41,27974459.565899998
IMP_Record_00036,808416.51,56.59,33.95,653537253640.5801,42,2.91,1,3202.4281000000005,1152.6025000000002,45748290.300900005
IMP_Record_00037,304683.31,3.05,11.88,92831919392.55609,39,22.55,1,9.302499999999998,141.13440000000003,929284.0954999999
IMP_Record_00038,97762.35,6.84,4.01,9557477077.522501,41,24.5,1,46.785599999999995,16.080099999999998,668694.474
IMP_Record_00039,684264.6,34.21,33.53,468218042813.16,49,36.21,1,1170.3241,1124.2609,23408691.966
IMP_Record_00040,440208.48,4.4,4.84,193783505863.91037,11,0.32,1,19.360000000000003,23.4256,1936917.3120000002
IMP_Record_00041,122126.03,1.22,4.76,14914767203.5609,39,21.11,1,1.4884,22.6576,148993.7566
IMP_Record_00042,495227.39,4.95,11.89,245250167806.21213,24,1.27,1,24.5025,141.37210000000002,2451375.5805
IMP_Record_00043,34485.08,3.1,1.59,1189220742.6064,46,32.25,1,9.610000000000001,2.5281000000000002,106903.748
IMP_Record_00044,909329.47,27.28,17.28,826880085010.4808,19,1.06,1,744.1984000000001,298.5984,24806507.9416
IMP_Record_00045,258854.1,12.94,1.04,67005445086.810005,4,3.65,1,167.44359999999998,1.0816000000000001,3349572.054
IMP_Record_00046,662556.03,59.63,17.23,438980492889.36096,26,18.25,1,3555.7369000000003,296.8729,39508216.068900004
IMP_Record_00047,311779.9,18.71,11.85,97206706044.01001,38,19.28,1,350.06410000000005,140.42249999999999,5833401.9290000005
IMP_Record_00048,520116.01,46.81,21.84,270520663858.3201,42,18.54,1,2191.1761,476.9856,24346630.4281
IMP_Record_00049,546755.61,43.74,17.5,298941697066.4721,32,4.18,1,1913.1876000000002,306.25,23915090.3814
IMP_Record_00050,184935.97,14.79,7.21,34201312999.8409,39,11.35,1,218.74409999999997,51.9841,2735202.9962999998
IMP_Record_00051,969587.67,9.7,43.63,940100249816.0289,45,39.1,1,94.08999999999999,1903.5769000000003,9405000.399
IMP_Record_00052,775155.31,69.76,35.66,600865754621.1962,46,41.6,1,4866.457600000001,1271.6355999999998,54074834.42560001
IMP_Record_00053,939504.99,56.37,33.82,882669626234.9,36,0.03,1,3177.5768999999996,1143.7924,52959896.286299996
IMP_Record_00054,894837.87,80.54,35.79,800734813586.1368,40,23.77,1,6486.691600000001,1280.9241,72070242.04980001
IMP_Record_00055,597940.19,17.94,22.12,357532470817.236,37,26.61,1,321.84360000000004,489.29440000000005,10727047.0086
IMP_Record_00056,921882.05,27.66,30.42,849866514112.2026,33,20.42,1,765.0756,925.3764000000001,25499257.503000002
IMP_Record_00057,88583.65,5.32,3.19,7847063047.322499,36,2.94,1,28.302400000000002,10.1761,471265.018
IMP_Record_00058,196063.26,17.65,0.59,38440801921.82761,3,0.65,1,311.5224999999999,0.34809999999999997,3460516.539
IMP_Record_00059,45322.77,3.17,0.41,2054153480.4728997,9,2.25,1,10.0489,0.16809999999999997,143673.18089999998
IMP_Record_00060,325397.8,9.76,2.6,105883728244.84,8,6.65,1,95.2576,6.760000000000001,3175882.528
IMP_Record_00061,388738.42,11.66,12.83,151117559184.09637,33,15.29,1,135.9556,164.6089,4532689.9772
IMP_Record_00062,271421.9,5.43,1.63,73669847799.61002,6,2.92,1,29.484899999999996,2.6569,1473820.9170000001
IMP_Record_00063,828754.64,74.59,33.98,686834253321.5297,41,38.33,1,5563.668100000001,1154.6403999999998,61816808.597600006
IMP_Record_00064,356817.65,10.7,13.92,127318835351.52252,39,24.85,1,114.48999999999998,193.7664,3817948.855
IMP_Record_00065,281006.42,14.05,1.12,78964608081.21638,4,3.59,1,197.40250000000003,1.2544000000000002,3948140.201
IMP_Record_00066,542741.81,48.85,7.06,294568672322.0762,13,5.93,1,2386.3225,49.843599999999995,26512937.418500002
IMP_Record_00067,141010.13,11.28,6.91,19883856762.6169,49,7.32,1,127.23839999999998,47.7481,1590594.2663999998
IMP_Record_00068,802216.76,16.04,1.6,643551730024.8976,2,1.86,1,257.28159999999997,2.5600000000000005,12867556.8304
IMP_Record_00069,74643.19,2.24,0.37,5571605813.376101,5,2.29,0,5.017600000000001,0.1369,167200.74560000002
IMP_Record_00070,986888.25,19.74,43.42,973948417988.0625,44,7.99,1,389.66759999999994,1885.2964000000002,19481174.055
IMP_Record_00071,772267.54,61.78,20.85,596397153337.6516,27,8.16,1,3816.7684,434.7225000000001,47710688.6212
IMP_Record_00072,198795.81,11.93,6.36,39519774073.5561,32,1.63,1,142.32489999999999,40.449600000000004,2371634.0132999998
IMP_Record_00073,5621.56,0.34,0.12,31601936.833600003,21,9.83,1,0.11560000000000002,0.0144,1911.3304000000003
IMP_Record_00074,815479.88,73.39,6.52,665007434684.8145,8,6.83,1,5386.0921,42.5104,59848068.3932
IMP_Record_00075,706886.66,56.55,26.86,499688750085.9556,38,35.48,1,3197.9024999999997,721.4596,39974440.623
IMP_Record_00076,729034.27,29.16,5.83,531490966834.4329,8,7.46,1,850.3056,33.9889,21258639.3132
IMP_Record_00077,771293.22,30.85,2.31,594893231217.9684,3,0.38,1,951.7225000000001,5.3361,23794395.837
IMP_Record_00078,74137.25,6.67,3.26,5496331837.5625,44,16.81,1,44.4889,10.6276,494495.4575
IMP_Record_00079,358529.88,3.59,1.08,128543674852.8144,3,0.08,1,12.8881,1.1664,1287122.2692
IMP_Record_00080,115957.47,2.32,2.55,13446134848.8009,22,18.81,1,5.3824,6.5024999999999995,269021.3304
IMP_Record_00081,863117.12,17.26,5.18,744971162837.0944,6,2.15,1,297.90760000000006,26.832399999999996,14897401.491200002
IMP_Record_00082,623335.8,37.4,1.25,388547519561.6401,2,1.26,1,1398.76,1.5625,23312758.92
IMP_Record_00083,330964.94,13.24,7.61,109537791509.2036,23,16.44,1,175.29760000000002,57.9121,4381975.805600001
IMP_Record_00084,63651.99,1.91,2.8,4051575830.9600997,44,18.91,1,3.6481,7.839999999999999,121575.30089999999
IMP_Record_00085,311051.22,9.33,0.62,96752861463.48839,2,0.61,1,87.0489,0.3844,2902107.8825999997
IMP_Record_00086,325250.8,9.76,12.36,105788082900.64,38,36.56,1,95.2576,152.7696,3174447.8079999997
IMP_Record_00087,729633.22,43.78,12.4,532364635727.56836,17,16.4,1,1916.6884,153.76000000000002,31943342.3716
